actor_id,actor_name
1236,Clark Gregg
1237,Clark Griswold
1238,Clarke Peters
1239,Claude Rains
1240,Claudia Black
1241,Claudia Cardinale
1242,Claudia Christian
1243,Clayne Crawford
1244,Clea DuVall
1245,Clemens Schick
1246,Cliff Curtis
1247,Cliff DeYoung
1248,Cliff Edwards
1249,Cliff Robertson
1250,Clifton Collins Jr.
1251,Clifton James
1252,Clifton Powell
1253,Clint Dyer
1254,Clint Eastwood
1255,Clint Howard
1256,Clive Owen
1257,Cloris Leachman
1258,Clotilde Mollet
1259,Clu Gulager
1260,Clémence Poésy
1261,Cmdr. Hikaru Sulu
1262,Cmdr. Pavel Chekov
1263,Cmdr. Uhura
1264,Cobie Smulders
1265,Cody Cameron
1266,Cole Hauser
